RQ2:
Project,			           Open_Issues_IQR,			Open_Issues_Median   |   Closed_PRs_IQR            Closed_PRs_Median    |   Open_PRs_IQR           Open_PRs_Median
3dmol_3Dmol,			       11.111111111111116,		55.55555555555556    |   22.222222222222225        50.0                 |   12.5                   44.44444444444444
abinit_abinit,			       12.49999999999999,		66.66666666666666    |   12.49999999999999         58.333333333333336   |   12.5                   58.333333333333336
alchemistry_alchemlyb,  	   11.11111111111111,		47.22222222222222    |   25.0                      47.22222222222222    |   29.166666666666664     44.44444444444444
Amber-MD_cpptraj,		       6.944444444444442,		50.0                 |   6.944444444444447         52.77777777777778    |   6.944444444444447      50.0
Amber-MD_pytraj,		       22.22222222222222,		66.66666666666666    |   18.055555555555557        55.55555555555556    |   20.833333333333325     61.111111111111114
birkir_prime,			       12.49999999999999,		61.111111111111114   |   6.944444444444442         55.55555555555556    |   2.7777777777777732     50.0
BOINC_boinc,			       12.5,				    47.22222222222222    |   16.666666666666668        50.0                 |   12.500000000000005     47.22222222222222
bustoutsolutions_siesta,	   12.5,				    55.55555555555556    |   6.944444444444442         50.0                 |   6.944444444444447      50.0
cclib_cclib,			       6.944444444444442,		55.55555555555556    |   11.11111111111111         41.666666666666664   |   9.722222222222227      44.44444444444444
chemfiles_chemfiles,		   16.666666666666675,		50.0                 |   13.888888888888884        41.666666666666664   |   18.055555555555557     41.666666666666664
