dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2022-02-01,20,0,2,6,3,0,0,29,0,4,10,5,0,3,1,7,7,11,3
2022-03-01,13,3,4,2,4,0,0,38,1,15,8,1,0,3,1,4,2,14,3
2022-04-01,13,4,7,9,4,0,0,38,1,12,5,0,0,3,1,12,1,14,3
2022-05-01,2,1,1,0,1,0,0,3,1,4,5,1,0,3,1,0,0,8,3
2022-06-01,6,1,1,2,2,0,0,24,1,3,3,1,0,3,1,3,0,14,3
2022-07-01,12,5,7,7,2,0,0,55,1,13,6,0,0,3,1,7,1,37,3
2022-08-01,3,1,1,1,2,0,0,7,1,4,8,2,0,3,1,0,1,6,3
2022-10-01,6,0,1,1,1,0,0,4,0,4,8,1,0,3,1,0,1,9,3
2022-11-01,3,0,1,2,1,0,0,3,0,1,6,0,0,3,1,0,0,5,3
2022-12-01,4,0,2,1,1,0,0,32,0,4,7,0,0,3,1,3,3,38,3
2023-01-01,6,1,8,1,2,2,0,29,1,45,15,4,0,3,1,2,3,41,3
2023-02-01,11,1,1,2,2,0,0,26,1,9,6,1,0,3,1,1,2,18,3
