dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2022-02-01,11,11,11,11,2,0,0,11,1,11,0,1,0,2,2,2,8,16,1
2022-03-01,10,8,8,8,2,0,0,8,1,10,2,0,0,2,2,0,5,13,1
2022-04-01,2,1,1,2,1,0,0,1,1,1,1,1,0,2,2,1,1,3,1
2022-05-01,7,6,6,6,1,0,0,6,1,6,2,2,0,2,2,3,0,18,1
2022-06-01,8,5,5,4,2,0,0,5,1,7,2,0,0,2,2,3,4,8,1
2022-07-01,7,7,7,7,1,0,0,7,1,7,3,0,0,2,2,3,4,21,1
2022-08-01,5,3,3,3,1,0,0,3,1,9,2,1,0,2,2,0,2,15,1
2022-10-01,4,3,3,3,1,0,0,3,1,3,4,0,0,2,2,2,1,9,1
2022-11-01,9,5,5,5,1,0,0,5,1,6,2,1,0,2,2,3,2,16,1
2022-12-01,6,6,6,6,1,0,0,6,1,6,1,0,0,2,2,2,4,18,1
2023-02-01,5,4,4,4,1,0,0,4,1,4,0,2,0,2,2,0,4,12,1
2023-03-01,1,1,1,1,1,0,0,1,1,1,0,0,0,2,2,1,0,3,1
