dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2022-04-01,56,28,39,40,6,0,0,54,2,48,15,4,0,0,1,7,5,23,4
2022-05-01,15,11,18,12,4,1,0,20,2,26,13,1,0,0,1,1,0,16,4
2022-06-01,63,34,37,39,8,0,0,85,2,61,12,4,0,0,1,6,5,22,4
2022-07-01,42,23,31,32,6,4,0,72,1,44,16,1,0,0,1,9,10,24,4
2022-08-01,49,22,41,25,5,13,0,71,2,59,17,2,0,0,1,12,8,34,4
2022-09-01,35,11,23,24,6,0,0,47,2,39,12,2,0,0,1,8,0,18,4
2022-10-01,37,20,25,21,8,1,0,78,3,103,29,1,0,0,1,17,1,25,4
2022-11-01,34,15,19,21,5,0,0,30,3,30,17,2,0,0,1,3,0,15,4
2022-12-01,16,13,13,10,5,0,0,29,4,20,7,1,0,0,1,0,0,12,4
2023-01-01,27,9,10,14,5,0,0,23,2,20,12,8,0,0,1,0,1,10,4
2023-02-01,42,17,26,27,4,0,0,32,2,35,27,1,0,0,1,2,2,23,4
2023-03-01,2,1,3,1,2,0,0,3,1,7,2,0,0,0,1,3,5,6,4
