dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2022-02-01,0,0,0,0,3,0,0,0,34,0,0,4,1,1,1,9,15,11,1
2022-03-01,0,0,0,0,4,0,0,0,79,0,0,4,2,1,1,12,23,19,1
2022-04-01,1,0,0,0,5,0,0,0,87,0,0,1,0,1,1,23,21,17,1
2022-05-01,0,0,1,0,6,1,0,0,69,0,2,2,2,1,1,13,10,12,1
2022-06-01,3,0,0,0,7,0,0,0,109,0,0,3,3,1,1,25,12,15,1
2022-07-01,1,0,0,0,3,0,0,0,19,0,0,5,0,1,1,3,2,6,1
2022-08-01,0,0,0,0,4,0,0,0,8,0,0,4,2,1,1,0,0,2,1
2022-10-01,2,0,0,0,1,7,0,0,1,0,4,0,2,1,1,0,2,5,1
2022-11-01,3,0,0,0,3,7,0,0,11,0,2,6,0,1,1,2,1,4,1
2022-12-01,1,0,0,0,4,0,0,0,74,0,0,2,1,1,1,7,7,18,1
2023-01-01,0,0,0,0,3,1,0,0,42,0,1,3,0,1,1,4,0,14,1
2023-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
