dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2016-09-01,1,0,0,0,1,0,0,0,6,0,0,2,0,2,2,2,1,6,3
2016-12-01,1,0,0,1,2,22,0,0,7,0,0,0,0,2,2,5,2,3,3
2017-01-01,1,1,1,0,2,32,1,0,13,1,3,2,0,2,2,5,3,8,3
2017-02-01,13,1,1,1,2,71,1,2,32,1,6,2,0,2,2,10,8,19,3
2017-03-01,0,0,0,0,1,0,0,0,12,0,1,0,0,2,2,2,7,13,3
2017-04-01,1,1,1,1,2,7,0,0,5,1,4,0,0,2,2,0,2,5,3
2017-05-01,9,0,0,0,1,2,0,0,8,0,1,1,0,2,2,3,1,9,3
2017-10-01,3,0,0,1,1,12,0,6,2,0,0,1,2,2,2,2,1,2,3
2017-11-01,9,4,6,5,3,56,0,67,14,2,12,2,0,2,2,4,10,10,3
2017-12-01,7,4,5,5,3,22,0,3,8,1,7,0,1,2,2,4,4,6,3
2018-01-01,8,3,3,3,2,42,0,5,3,1,6,1,1,2,2,1,2,6,3
2018-10-01,7,0,1,4,1,35,0,2,8,0,1,1,1,2,2,2,1,10,3
2018-11-01,5,5,5,3,3,40,0,13,29,2,8,2,0,2,2,7,8,14,3
2018-12-01,1,0,0,0,2,11,0,6,3,0,0,0,0,2,2,0,0,1,3
2019-01-01,0,1,1,0,1,11,0,0,1,1,6,0,1,2,2,0,0,8,3
2019-02-01,2,0,0,1,2,12,0,0,5,0,0,0,0,2,2,1,2,2,3
2019-03-01,1,1,1,0,2,2,0,3,3,1,2,3,0,2,2,0,0,3,3
2019-04-01,5,1,1,3,1,25,0,0,5,1,3,0,2,2,2,0,4,9,3
2019-05-01,2,0,0,0,2,38,0,1,5,0,0,0,0,2,2,0,1,2,3
2019-06-01,4,1,1,1,2,5,0,18,7,1,2,2,2,2,2,0,4,5,3
2019-07-01,5,6,6,4,3,54,0,21,9,2,11,0,0,2,2,4,3,8,3
2019-08-01,0,0,0,0,1,7,0,0,2,0,1,1,0,2,2,0,0,3,3
2020-01-01,6,2,2,4,3,30,0,0,6,2,3,0,0,2,2,3,1,3,3
2020-08-01,4,2,2,2,2,21,0,23,2,1,3,0,1,2,2,1,1,3,3
2020-10-01,3,2,2,2,1,12,0,15,2,1,2,1,0,2,2,2,2,6,3
2021-03-01,7,1,1,4,1,12,0,7,1,1,2,2,0,2,2,0,1,4,3
2021-04-01,4,5,5,2,3,35,0,37,13,1,8,2,0,2,2,4,5,8,3
2021-06-01,14,6,6,5,3,74,0,118,21,3,14,1,1,2,2,5,3,13,3
2021-07-01,10,3,4,5,2,18,0,12,6,2,8,6,0,2,2,2,2,9,3
2021-08-01,5,1,1,3,1,22,0,27,1,1,3,6,2,2,2,0,0,5,3
2021-09-01,6,5,5,4,3,19,0,30,11,2,8,1,3,2,2,2,3,8,3
2021-10-01,8,7,7,4,4,60,0,80,8,2,14,2,0,2,2,2,5,7,3
