dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2019-04-01,31,24,26,25,3,48,0,34,2,31,50,6,0,0,0,0,0,30,5
2019-05-01,49,24,25,34,5,69,4,26,2,26,101,8,0,0,0,0,0,15,5
2019-06-01,27,28,31,22,4,41,0,29,2,31,70,7,0,0,0,0,0,22,5
2019-07-01,53,41,42,43,9,64,0,42,2,46,58,5,0,0,0,0,0,14,5
2019-08-01,24,17,19,21,4,44,0,17,2,20,46,5,0,0,0,0,0,14,5
2019-09-01,28,22,29,26,2,43,0,21,2,29,42,4,1,0,0,0,0,39,5
2019-10-01,29,14,14,24,2,31,0,14,2,16,65,8,0,0,0,0,0,22,5
2019-11-01,19,24,24,19,4,22,0,24,2,24,40,2,0,0,0,0,0,18,5
2019-12-01,25,22,22,24,2,24,0,22,2,22,28,2,0,0,0,0,0,33,5
2020-01-01,28,17,18,26,4,13,0,17,2,20,29,4,0,0,0,0,0,13,5
2020-07-01,8,9,50,8,4,12,0,24,1,50,26,0,0,0,0,1,0,31,5
2020-09-01,6,0,0,5,1,9,0,4,0,2,22,1,0,0,0,0,0,6,5
