dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2018-04-01,5,0,0,1,0,12,0,0,0,0,0,20,3,3,1,0,0,0,5
2018-06-01,10,8,8,7,1,29,0,0,37,1,19,50,1,3,1,2,0,64,5
2018-08-01,8,3,4,4,2,27,0,0,19,1,6,26,5,3,1,2,0,14,5
2018-09-01,7,4,4,4,2,10,0,0,11,1,7,17,3,3,1,0,0,11,5
2019-03-01,6,3,4,3,1,4,0,0,30,1,5,12,0,3,1,3,0,39,5
2019-04-01,5,0,1,2,2,14,0,5,6,0,3,11,0,3,1,2,0,5,5
2019-07-01,2,3,4,2,1,14,0,0,6,1,4,14,2,3,1,2,0,14,5
2020-01-01,1,0,0,1,1,0,0,0,1,0,0,9,1,3,1,0,0,1,5
2020-03-01,4,5,5,4,1,9,0,0,49,1,6,7,3,3,1,10,0,60,5
2020-04-01,5,1,1,2,1,9,0,0,9,1,3,18,0,3,1,2,0,13,5
2020-10-01,0,0,0,0,1,2,0,0,4,0,0,7,0,3,1,1,0,4,5
2020-11-01,2,1,1,1,1,7,0,0,3,1,2,13,2,3,1,0,0,6,5
