dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2014-01-01,21,6,7,9,3,22,3,23,3,8,0,1,1,2,1,3,3,12,3
2014-02-01,24,11,11,12,3,130,0,104,2,22,0,1,0,2,1,8,14,45,3
2014-03-01,36,14,14,12,3,113,1,130,2,33,1,0,0,2,1,7,15,59,3
2014-04-01,27,12,13,12,2,82,7,147,2,27,0,0,1,2,1,7,29,93,3
2014-05-01,10,3,3,4,2,33,0,41,2,4,5,2,0,2,1,1,7,24,3
2014-06-01,1,0,0,0,1,2,0,20,0,1,0,0,0,2,1,0,2,21,3
2014-07-01,1,0,0,1,1,2,0,12,0,0,1,1,0,2,1,0,0,12,3
2014-08-01,6,3,3,2,3,32,0,20,2,4,1,1,0,2,1,0,4,9,3
2014-09-01,10,7,7,6,3,60,2,46,2,12,3,0,0,2,1,2,6,21,3
2014-10-01,15,7,8,9,3,58,5,62,2,18,1,0,0,2,1,5,8,29,3
2014-11-01,5,0,1,2,1,18,0,15,0,2,1,1,0,2,1,0,1,18,3
2014-12-01,5,4,4,3,3,19,0,27,2,6,2,0,0,2,1,1,1,12,3
2015-01-01,10,0,2,4,5,73,0,51,0,3,1,1,0,2,1,4,5,11,3
2015-02-01,11,7,7,7,3,62,13,69,3,13,1,2,0,2,1,4,13,29,3
2015-03-01,16,11,13,11,5,41,2,46,4,14,0,0,1,2,1,1,5,14,3
2015-04-01,3,0,0,2,2,11,3,21,0,0,0,0,1,2,1,4,7,10,3
2015-05-01,1,2,2,0,2,8,0,21,2,2,2,1,0,2,1,1,2,12,3
2015-06-01,1,0,0,0,2,13,0,8,0,1,3,0,0,2,1,0,0,4,3
2015-07-01,1,0,0,1,0,1,0,0,0,0,1,2,1,2,1,0,0,0,3
2015-08-01,5,2,5,4,1,7,0,1,1,5,1,1,0,2,1,0,2,11,3
2015-09-01,3,2,2,3,2,4,2,5,2,2,0,1,0,2,1,0,0,4,3
2015-10-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,3
2015-11-01,4,0,0,1,0,12,0,0,0,0,1,0,0,2,1,0,1,0,3
2015-12-01,8,4,4,5,2,42,6,13,2,5,0,0,0,2,1,0,6,11,3
2016-01-01,15,5,9,10,3,45,3,17,3,11,0,2,2,2,1,1,3,12,3
2016-02-01,6,2,2,1,2,5,1,6,2,2,2,1,0,2,1,0,1,5,3
2016-03-01,11,5,5,6,6,26,2,10,3,7,3,0,0,2,1,3,0,3,3
2016-04-01,19,9,11,10,6,115,11,34,3,18,3,2,0,2,1,6,5,10,3
2016-05-01,4,2,2,3,2,13,0,4,2,3,4,2,0,2,1,0,0,4,3
2016-06-01,7,2,3,6,5,37,36,22,1,3,0,3,0,2,1,5,1,5,3
2016-07-01,10,7,8,4,5,82,18,42,1,13,4,0,0,2,1,6,8,12,3
2016-08-01,40,20,22,22,6,152,63,126,3,40,1,2,0,2,1,16,22,31,3
2016-12-01,5,3,3,3,3,19,5,6,3,5,1,1,1,2,1,1,1,4,3
2017-02-01,3,1,1,2,2,3,0,4,1,1,3,0,0,2,1,0,1,3,3
2017-03-01,15,4,4,9,7,40,8,19,2,8,6,7,0,2,1,2,4,4,3
2017-04-01,4,2,4,3,1,11,4,3,1,5,1,1,0,2,1,1,0,12,3
