dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2021-11-01,4,3,3,3,1,3,0,2,5,1,4,3,0,2,1,1,0,12,3
2021-12-01,0,0,0,0,1,1,0,0,3,0,1,2,1,2,1,0,1,4,3
2022-01-01,4,1,1,2,1,8,0,0,7,1,2,0,0,2,1,1,3,10,3
2022-03-01,0,0,0,0,2,2,0,6,5,0,0,0,1,2,1,0,0,2,3
2022-04-01,4,4,4,3,2,11,0,14,15,1,4,1,0,2,1,1,1,11,3
2022-05-01,3,2,2,2,2,6,0,21,6,1,3,2,0,2,1,0,2,5,3
2022-06-01,2,1,1,2,2,0,0,0,5,1,1,3,1,2,1,0,1,3,3
2022-07-01,5,3,4,2,2,7,0,23,9,1,11,2,0,2,1,0,0,12,3
2022-08-01,3,0,0,1,1,2,0,11,13,0,1,0,0,2,1,0,3,14,3
2022-09-01,2,2,2,1,1,2,0,0,1,1,3,0,0,2,1,0,0,6,3
2022-11-01,1,0,0,1,1,4,0,0,1,0,0,1,0,2,1,1,0,1,3
2023-01-01,3,1,1,2,1,5,0,0,3,1,1,3,2,2,1,0,0,5,3
