dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2014-10-01,7,1,1,1,2,0,0,42,1,1,0,1,4,3,1,4,24,22,3
2015-01-01,7,0,1,1,3,9,0,19,0,2,8,4,0,3,1,4,10,7,3
2015-02-01,11,3,4,5,4,8,0,39,1,6,3,0,2,3,1,3,16,12,3
2015-03-01,11,5,6,6,5,21,0,47,1,9,2,1,1,3,1,1,11,12,3
2015-04-01,14,5,8,7,5,21,0,44,1,10,87,6,2,3,1,3,18,12,3
2015-05-01,13,8,9,9,4,11,0,47,1,17,7,2,2,3,1,7,15,18,3
2015-06-01,32,13,13,13,5,65,0,76,3,27,3,1,1,3,1,19,39,23,3
2015-07-01,21,8,10,10,3,55,0,51,2,19,5,3,1,3,1,19,32,26,3
2015-08-01,7,4,5,5,3,21,0,36,2,13,2,2,1,3,1,5,10,18,3
2015-09-01,9,5,5,5,4,12,0,28,1,7,0,2,0,3,1,2,8,10,3
2015-10-01,11,3,3,3,4,13,0,28,1,7,5,5,3,3,1,3,8,9,3
2015-11-01,3,2,2,2,2,3,0,5,1,2,7,1,0,3,1,2,0,4,3
2015-12-01,1,0,0,0,2,2,0,8,0,1,0,1,0,3,1,1,0,4,3
2016-01-01,3,0,0,0,2,1,0,15,0,1,3,1,1,3,1,1,2,8,3
2016-02-01,4,1,1,1,1,12,0,8,1,4,1,1,0,3,1,0,0,13,3
2016-03-01,7,1,5,5,2,9,0,31,1,8,6,2,1,3,1,7,9,22,3
2016-04-01,11,3,3,3,2,39,0,31,1,5,6,3,0,3,1,8,9,19,3
2016-05-01,10,3,3,3,2,36,0,43,1,10,12,5,0,3,1,8,18,28,3
2016-06-01,8,3,3,3,2,20,0,22,2,6,2,2,0,3,1,5,21,15,3
2016-07-01,15,7,7,8,3,31,0,18,2,19,2,4,1,3,1,6,29,14,3
2016-08-01,30,18,18,18,3,2,0,38,2,30,1,0,0,3,1,8,9,28,3
2016-09-01,5,1,1,0,1,1,0,9,1,3,5,0,1,3,1,1,10,13,3
2016-10-01,1,0,0,0,1,0,0,15,0,0,4,0,1,3,1,10,19,15,3
2016-11-01,4,4,4,4,1,3,0,4,1,8,4,1,0,3,1,4,11,16,3
2016-12-01,11,6,6,6,3,0,0,10,2,10,2,0,0,3,1,5,4,8,3
2017-01-01,13,4,4,4,4,0,0,22,1,9,3,2,0,3,1,3,8,8,3
2017-02-01,11,3,3,3,2,2,0,22,1,10,6,1,0,3,1,8,12,17,3
2017-03-01,12,4,4,4,3,3,0,13,2,17,12,1,0,3,1,3,5,11,3
2017-04-01,7,2,2,2,2,0,0,11,1,4,3,1,0,3,1,2,5,8,3
2017-05-01,5,2,2,2,2,0,8,26,1,4,6,3,0,3,1,3,7,16,3
2017-06-01,16,8,8,8,4,0,8,87,1,13,8,1,0,3,1,15,47,27,3
2017-07-01,9,8,9,9,5,0,26,80,1,10,2,0,0,3,1,9,41,19,3
2017-08-01,8,6,6,6,3,0,11,50,2,8,1,0,0,3,1,12,16,21,3
2017-09-01,7,0,0,0,1,6,0,14,0,5,4,1,0,3,1,1,3,19,3
2017-10-01,3,0,0,0,1,0,0,8,0,2,2,1,0,3,1,0,4,10,3
2017-11-01,7,0,1,1,1,0,0,18,0,5,5,1,0,3,1,2,7,24,3
2017-12-01,1,0,0,0,1,0,0,4,0,2,2,0,0,3,1,0,2,6,3
2018-01-01,3,2,2,2,2,0,0,9,1,2,2,2,0,3,1,2,3,6,3
2018-02-01,1,0,0,0,1,0,0,4,0,2,4,1,0,3,1,3,1,6,3
2018-03-01,5,0,0,0,1,0,0,8,0,3,7,1,0,3,1,1,3,11,3
2018-04-01,5,0,0,0,1,0,0,9,0,4,9,4,0,3,1,0,2,13,3
2018-05-01,3,0,0,0,1,0,0,14,0,0,3,1,0,3,1,4,4,14,3
2018-06-01,4,1,2,2,2,0,0,14,1,7,6,3,0,3,1,1,2,11,3
2018-08-01,4,0,0,0,1,0,0,16,0,3,5,1,0,3,1,0,4,19,3
2018-09-01,1,1,1,1,2,0,2,2,1,1,2,1,0,3,1,1,0,2,3
2018-11-01,1,0,0,0,1,0,0,3,0,0,3,2,0,3,1,0,2,3,3
