dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2014-12-01,2,0,0,1,2,6,0,44,0,1,1,0,2,2,2,0,11,22,1
2015-01-01,2,1,1,0,1,18,0,50,1,2,2,0,2,2,2,0,10,53,1
2015-02-01,3,0,0,1,2,32,0,90,0,2,0,1,1,2,2,0,23,46,1
2015-03-01,2,0,0,0,3,13,0,93,0,1,0,0,1,2,2,2,26,31,1
2015-04-01,1,0,0,0,2,8,0,24,0,3,0,0,1,2,2,0,5,13,1
2015-06-01,5,1,1,4,2,12,1,41,1,2,0,0,2,2,2,0,11,22,1
2015-07-01,14,5,9,6,3,70,9,97,2,12,1,3,3,2,2,1,18,39,1
2015-08-01,26,9,9,9,3,95,0,96,1,16,0,0,0,2,2,1,29,40,1
2015-09-01,39,15,16,16,3,123,0,133,2,33,0,0,0,2,2,1,23,60,1
2015-10-01,57,24,26,26,4,223,0,181,1,53,2,4,0,2,2,3,43,65,1
2015-11-01,40,18,20,20,3,135,6,127,1,38,1,1,0,2,2,2,29,61,1
2015-12-01,22,14,15,17,4,1,15,217,1,19,1,1,0,2,2,4,36,62,1
2016-01-01,24,14,17,15,3,1,0,288,1,20,2,0,3,2,2,0,42,108,1
2016-02-01,40,28,29,29,2,23,0,242,1,48,0,0,1,2,2,2,53,159,1
2016-03-01,17,11,11,11,3,5,1,54,1,13,0,0,2,2,2,1,8,26,1
2016-04-01,14,9,9,9,1,15,0,67,1,18,0,0,2,2,2,0,15,94,1
2016-05-01,37,16,16,16,1,0,0,232,1,35,0,0,2,2,2,0,99,283,1
2016-06-01,23,16,16,16,3,2,2,215,1,22,1,1,0,2,2,1,46,84,1
2016-07-01,11,6,6,6,1,0,0,33,1,10,2,0,1,2,2,0,8,49,1
2016-08-01,15,7,7,7,1,4,0,85,1,16,0,0,2,2,2,0,33,108,1
2016-09-01,5,5,5,5,1,0,0,23,1,7,1,1,0,2,2,0,4,35,1
2016-10-01,11,7,7,8,1,0,0,33,1,9,1,0,0,2,2,0,10,49,1
2016-11-01,18,10,10,10,3,2,0,83,1,20,0,0,1,2,2,0,34,37,1
2016-12-01,20,15,15,14,2,0,0,120,1,21,0,0,0,2,2,2,35,78,1
2017-01-01,2,2,2,2,1,0,0,70,1,2,1,0,0,2,2,0,42,74,1
2017-02-01,11,9,9,9,2,0,0,49,1,10,1,0,0,2,2,1,15,34,1
2017-03-01,17,12,12,13,1,4,0,49,1,16,0,1,0,2,2,1,8,77,1
2017-04-01,12,11,12,11,2,0,0,102,1,14,0,0,2,2,2,0,32,64,1
2017-05-01,6,4,4,5,1,0,0,54,1,4,0,0,0,2,2,0,29,62,1
2017-06-01,10,7,7,7,1,0,0,100,1,8,2,0,0,2,2,0,26,115,1
2017-07-01,16,11,11,11,2,0,0,136,1,16,0,2,2,2,2,3,22,81,1
2017-08-01,13,9,9,9,2,0,0,114,1,10,1,0,2,2,2,3,15,66,1
2017-09-01,17,10,11,10,2,1,0,168,1,16,0,0,0,2,2,1,55,97,1
2017-10-01,14,7,7,7,2,0,0,11,1,10,0,0,0,2,2,0,42,14,1
2017-11-01,3,2,2,2,2,0,0,36,1,2,4,0,2,2,2,2,2,20,1
2017-12-01,2,2,2,2,2,0,0,46,1,2,0,0,2,2,2,5,5,25,1
2018-01-01,7,5,5,5,2,0,0,27,1,5,1,0,3,2,2,1,17,18,1
2018-02-01,7,4,4,4,1,0,0,39,1,5,0,0,0,2,2,0,28,48,1
