dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2015-02-01,1355,1,2,3,5,504,3,279,1,1005,17,6,5,0,1,3,11,257,4
2015-03-01,3,1,2,1,4,0,0,216,1,3,17,2,4,0,1,9,14,55,4
2015-04-01,2,1,1,1,5,0,0,181,1,2,9,3,2,0,1,13,9,36,4
2015-05-01,2,0,0,0,4,0,0,168,0,1,7,2,0,0,1,7,5,42,4
2015-06-01,2,0,0,2,3,0,0,146,0,0,6,2,1,0,1,21,4,48,4
2015-07-01,11,5,7,6,6,1,0,162,1,8,8,3,0,0,1,12,7,29,4
2015-08-01,11,5,5,4,6,0,0,84,4,5,15,4,0,0,1,3,6,15,4
2015-09-01,8,2,2,2,6,0,0,104,2,5,10,0,0,0,1,4,2,18,4
2015-10-01,29,10,11,12,7,0,0,209,3,13,9,7,5,0,1,4,17,33,4
2015-11-01,19,9,11,10,7,0,0,258,2,15,8,2,1,0,1,0,6,40,4
2015-12-01,17,7,8,9,8,0,0,131,2,10,13,6,0,0,1,4,8,18,4
2016-01-01,26,5,7,8,9,0,0,179,1,17,11,5,2,0,1,5,2,22,4
2016-02-01,15,7,7,7,8,1,0,165,2,31,9,4,1,0,1,3,15,25,4
2016-03-01,17,6,6,8,8,1,0,126,3,8,9,3,0,0,1,2,4,17,4
2016-04-01,19,7,8,9,7,0,0,80,3,13,11,4,2,0,1,3,3,14,4
2016-05-01,16,9,10,7,7,0,4,55,3,12,12,2,0,0,1,3,0,11,4
2016-06-01,14,2,3,5,4,0,0,267,1,7,6,4,0,0,1,2,22,69,4
2016-07-01,32,9,10,14,6,0,1,132,2,17,22,1,0,0,1,1,14,26,4
2016-08-01,35,7,14,18,6,0,0,90,3,19,12,5,0,0,1,0,1,20,4
2016-09-01,33,14,19,25,9,0,3,78,3,22,21,5,0,0,1,1,0,13,4
2016-10-01,26,16,17,16,5,0,5,48,2,25,21,4,0,0,1,2,1,18,4
2016-11-01,34,20,24,20,7,0,11,83,3,33,9,5,0,0,1,2,9,20,4
2016-12-01,17,6,7,7,6,0,4,52,2,15,11,3,0,0,1,1,4,12,4
2017-01-01,33,14,16,15,7,16,3,86,3,23,16,7,0,0,1,2,13,17,4
2017-02-01,24,9,10,17,6,0,0,55,2,15,18,3,0,0,1,0,4,13,4
2017-03-01,36,21,30,23,6,0,0,70,3,35,14,4,0,0,1,8,10,22,4
2017-04-01,57,28,31,34,7,6,0,92,3,222,12,4,0,0,1,1,7,49,4
2017-05-01,35,14,18,18,3,0,0,28,2,25,5,3,0,0,1,1,0,23,4
2017-06-01,29,9,12,19,6,0,0,47,3,15,12,6,0,0,1,1,6,12,4
2017-07-01,42,25,27,26,7,1,0,73,3,35,17,3,0,0,1,3,4,19,4
2017-08-01,85,52,56,55,7,2,0,121,3,87,21,5,0,0,1,2,5,37,4
2017-09-01,65,15,26,36,10,0,0,44,4,33,23,8,0,0,1,0,3,10,4
2017-10-01,55,26,36,39,9,10,0,52,5,58,24,2,0,0,1,1,3,16,4
2017-11-01,61,27,28,29,9,0,0,79,6,44,31,4,0,0,1,5,9,16,4
2017-12-01,17,7,10,5,5,0,0,12,4,12,23,4,0,0,1,1,0,6,4
2018-01-01,50,25,27,31,12,3,0,63,7,39,21,7,0,0,1,4,9,10,4
2018-02-01,51,22,26,22,9,1,0,40,6,45,21,11,0,0,1,1,4,12,4
2018-03-01,56,25,31,32,10,1,0,52,5,38,19,14,0,0,1,4,5,12,4
2018-04-01,55,21,23,31,11,0,0,64,7,29,14,7,0,0,1,12,10,10,4
2018-05-01,50,32,38,31,10,1,0,67,5,50,23,3,0,0,1,20,7,15,4
2018-06-01,37,24,29,23,11,0,0,52,6,35,25,3,0,0,1,4,12,10,4
2018-07-01,44,23,25,30,11,0,0,51,4,32,18,7,0,0,1,9,5,9,4
2018-08-01,53,25,35,40,12,0,0,61,7,41,23,6,0,0,1,7,13,11,4
2018-09-01,49,26,36,33,10,2,0,64,7,61,16,1,0,0,1,10,13,16,4
2018-10-01,62,35,43,37,14,4,0,85,9,124,11,7,0,0,1,7,9,18,4
2018-11-01,72,30,38,43,12,0,0,82,8,52,22,5,0,0,1,15,2,14,4
2018-12-01,85,43,51,64,12,0,0,216,5,59,20,2,0,0,1,20,66,27,4
2019-01-01,52,25,33,31,12,0,0,66,9,41,15,4,0,0,1,4,7,11,4
2019-02-01,42,22,26,25,9,0,0,42,7,36,17,1,0,0,1,2,2,11,4
2019-03-01,40,26,30,27,11,0,0,56,8,43,21,5,0,0,1,5,7,11,4
2019-04-01,33,30,41,21,12,0,0,62,8,58,23,7,0,0,1,3,12,13,4
