dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2017-05-01,2,0,0,0,9,1,0,0,176,0,2,5,3,1,1,25,53,19,1
2017-09-01,2,0,0,0,7,1,0,0,175,0,1,2,0,1,1,23,61,25,1
2019-08-01,2,0,0,0,8,6,0,0,138,0,5,5,1,1,1,22,74,17,1
2017-12-01,0,0,0,0,7,1,0,0,155,0,1,1,1,1,1,25,46,22,1
2017-11-01,3,0,0,0,10,8,0,0,156,0,1,1,1,1,1,19,69,15,1
2018-03-01,2,0,1,1,9,2,0,0,300,0,1,1,3,1,1,46,101,33,1
2020-06-01,1,0,0,0,10,0,0,0,157,0,1,2,2,1,1,29,61,15,1
2020-12-01,0,0,0,0,15,0,0,0,297,0,2,1,0,1,1,36,34,19,1
2020-02-01,0,0,3,0,9,3,0,0,246,0,3,4,0,1,1,26,93,28,1
2019-09-01,1,0,0,0,7,5,0,0,227,0,1,0,1,1,1,29,90,32,1
2020-01-01,0,0,0,0,9,0,0,0,140,0,2,0,1,1,1,18,64,15,1
2020-07-01,4,0,1,0,7,15,0,0,240,0,5,1,2,1,1,51,71,35,1
2020-04-01,0,0,0,0,11,1,0,0,136,0,1,2,1,1,1,24,36,12,1
2020-05-01,2,0,0,0,11,10,0,0,158,0,2,3,1,1,1,30,38,14,1
2021-05-01,1,0,0,1,8,0,0,0,35,0,3,3,1,1,1,12,12,4,1
2020-09-01,1,0,0,0,10,6,0,0,177,0,2,0,0,1,1,39,26,17,1
2020-11-01,2,0,0,0,8,5,0,0,228,0,1,2,0,1,1,41,71,28,1
2021-02-01,2,0,0,0,8,8,0,0,196,0,1,1,0,1,1,24,38,24,1
2021-03-01,1,0,0,0,10,2,0,0,155,0,1,3,1,1,1,25,44,15,1
2022-05-01,0,0,1,0,6,1,0,0,69,0,2,2,2,1,1,13,10,12,1
2021-08-01,2,0,0,0,7,4,0,0,38,0,1,1,2,1,1,2,12,5,1
2022-10-01,2,0,0,0,1,7,0,0,1,0,4,0,2,1,1,0,2,5,1
2022-11-01,3,0,0,0,3,7,0,0,11,0,2,6,0,1,1,2,1,4,1
2023-01-01,0,0,0,0,3,1,0,0,42,0,1,3,0,1,1,4,0,14,1
2017-03-01,0,0,0,0,7,0,0,0,124,0,0,2,1,1,1,23,44,17,1
2017-04-01,0,0,0,0,8,0,0,0,80,0,0,1,0,1,1,16,27,10,1
2017-06-01,0,0,0,0,9,0,0,0,218,0,0,3,2,1,1,35,50,24,1
2017-07-01,0,0,0,0,6,0,0,0,424,0,0,1,1,1,1,74,122,70,1
2017-08-01,0,0,0,0,5,0,0,0,319,0,0,1,1,1,1,69,44,63,1
2017-10-01,1,0,0,0,10,1,0,0,209,0,0,1,1,1,1,34,61,20,1
