dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2015-07-01,1,0,0,0,1,1,0,0,114,0,0,0,0,3,1,7,2,114,5
2015-08-01,2,0,0,0,1,0,0,0,179,0,1,17,0,3,1,10,6,180,5
2015-09-01,1,0,0,0,1,0,0,0,32,0,0,4,0,3,1,0,0,32,5
2015-10-01,4,2,2,2,3,15,0,0,63,1,3,211,8,3,1,6,1,22,5
2015-11-01,5,0,0,0,1,20,0,0,31,0,4,41,0,3,1,2,0,35,5
2015-12-01,17,2,2,2,4,42,1,3,41,1,14,21,4,3,1,5,0,14,5
2016-01-01,7,0,0,0,1,62,1,0,39,0,8,35,1,3,1,2,1,47,5
2016-02-01,5,3,3,4,2,14,0,0,23,1,4,13,2,3,1,1,0,15,5
2016-03-01,2,0,0,0,1,7,2,0,2,0,0,24,4,3,1,0,0,2,5
2016-04-01,4,0,0,0,1,13,0,0,4,0,3,18,1,3,1,0,0,7,5
2016-05-01,7,1,2,3,3,20,2,0,22,1,6,24,2,3,1,2,0,10,5
2016-06-01,12,10,10,8,2,56,1,33,87,1,18,158,2,3,1,4,0,57,5
2016-07-01,17,8,8,8,2,38,0,6,53,1,15,32,1,3,1,7,0,38,5
2016-08-01,23,12,12,13,3,41,0,0,99,1,21,75,6,3,1,8,0,44,5
2016-09-01,9,5,5,4,1,47,0,0,76,1,14,29,1,3,1,2,0,95,5
2016-10-01,18,9,9,11,2,32,0,9,54,1,13,31,7,3,1,4,1,38,5
2016-11-01,19,15,15,13,2,38,0,0,56,1,21,146,14,3,1,0,0,46,5
2016-12-01,9,1,1,2,3,22,2,0,4,1,8,47,6,3,1,1,0,4,5
2017-01-01,14,3,3,3,1,43,2,2,7,1,14,43,3,3,1,0,0,24,5
2017-02-01,8,1,1,1,2,6,0,0,4,1,4,45,1,3,1,0,0,4,5
2017-03-01,6,2,2,3,1,9,0,3,10,1,4,43,4,3,1,1,1,16,5
2017-04-01,3,2,2,1,2,30,0,0,9,1,10,37,1,3,1,0,0,10,5
2017-05-01,8,0,0,0,1,19,0,0,1,0,4,51,4,3,1,0,0,5,5
2017-07-01,6,1,1,2,1,14,0,0,22,1,6,54,3,3,1,1,0,29,5
2017-08-01,12,3,3,4,2,31,0,1,21,1,9,21,5,3,1,1,0,16,5
2017-09-01,4,5,5,3,1,7,1,0,13,1,9,43,2,3,1,0,0,27,5
2017-11-01,5,2,2,2,2,12,0,0,8,1,6,32,4,3,1,0,0,8,5
2017-12-01,2,1,1,1,1,8,0,0,5,1,3,42,0,3,1,0,0,9,5
2018-03-01,3,0,0,0,1,10,0,0,14,0,0,41,6,3,1,3,0,14,5
2018-04-01,5,0,0,1,0,12,0,0,0,0,0,20,3,3,1,0,0,0,5
2018-06-01,10,8,8,7,1,29,0,0,37,1,19,50,1,3,1,2,0,64,5
2018-08-01,8,3,4,4,2,27,0,0,19,1,6,26,5,3,1,2,0,14,5
2018-09-01,7,4,4,4,2,10,0,0,11,1,7,17,3,3,1,0,0,11,5
2019-03-01,6,3,4,3,1,4,0,0,30,1,5,12,0,3,1,3,0,39,5
2019-04-01,5,0,1,2,2,14,0,5,6,0,3,11,0,3,1,2,0,5,5
2019-07-01,2,3,4,2,1,14,0,0,6,1,4,14,2,3,1,2,0,14,5
2020-01-01,1,0,0,1,1,0,0,0,1,0,0,9,1,3,1,0,0,1,5
2020-03-01,4,5,5,4,1,9,0,0,49,1,6,7,3,3,1,10,0,60,5
2020-04-01,5,1,1,2,1,9,0,0,9,1,3,18,0,3,1,2,0,13,5
2020-11-01,2,1,1,1,1,7,0,0,3,1,2,13,2,3,1,0,0,6,5
2021-10-01,1,1,1,1,1,1,0,0,16,1,2,5,1,3,1,0,0,19,5
2015-06-01,0,0,0,0,1,0,1,0,23,0,0,0,0,3,1,2,0,23,5
2020-10-01,0,0,0,0,1,2,0,0,4,0,0,7,0,3,1,1,0,4,5
