dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2015-02-01,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,17,0,3
2015-03-01,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,14,15,0,3
2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,19,0,3
2015-06-01,3,0,0,0,0,1,0,0,0,0,1,2,0,2,1,11,8,0,3
2015-08-01,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,3
2015-09-01,5,0,0,0,0,0,0,0,0,0,1,0,0,2,1,18,7,0,3
2015-10-01,4,0,0,0,0,3,0,0,0,0,3,0,1,2,1,10,6,0,3
2015-11-01,2,0,0,0,0,3,1,0,0,0,1,2,1,2,1,2,3,0,3
2015-12-01,1,0,0,0,0,5,0,0,0,0,3,0,0,2,1,1,4,0,3
2016-03-01,1,0,0,0,1,0,1,0,8,0,1,1,0,2,1,0,1,9,3
2016-05-01,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,14,0,3
2016-06-01,7,1,1,1,2,2,1,0,2,1,2,2,1,2,1,5,12,2,3
2016-08-01,1,0,0,0,0,5,0,0,0,0,0,0,0,2,1,1,7,0,3
2016-09-01,6,1,1,2,1,23,0,21,1,1,3,1,0,2,1,11,18,5,3
2016-10-01,15,6,6,7,1,27,0,0,5,1,14,2,0,2,1,8,11,25,3
2016-12-01,3,2,2,2,1,4,0,0,25,1,3,0,0,2,1,3,20,30,3
2017-01-01,1,0,0,0,1,2,0,0,13,0,1,0,0,2,1,3,2,14,3
2017-02-01,9,2,2,2,2,0,0,0,36,1,2,3,1,2,1,5,6,20,3
2017-03-01,3,0,0,0,1,7,0,0,30,0,1,2,0,2,1,2,4,31,3
2017-04-01,10,3,3,4,1,24,0,3,20,1,10,2,1,2,1,2,3,33,3
2017-05-01,1,0,0,0,1,4,0,0,18,0,1,1,0,2,1,5,3,19,3
2017-06-01,3,1,2,1,1,3,0,0,20,1,2,2,0,2,1,2,5,24,3
2017-07-01,3,0,0,2,1,3,0,0,14,0,0,0,0,2,1,1,3,14,3
2017-09-01,11,8,9,9,1,24,0,2,43,1,14,1,2,2,1,11,15,66,3
2017-10-01,26,19,21,21,2,39,0,33,76,1,27,4,2,2,1,24,30,62,3
2017-11-01,9,6,7,7,1,4,0,0,42,1,9,0,0,2,1,15,15,58,3
2017-12-01,5,5,5,4,1,0,0,0,23,1,8,1,0,2,1,0,4,36,3
2018-01-01,1,1,1,1,1,1,0,0,2,1,1,0,0,2,1,0,0,4,3
2018-02-01,4,3,3,3,1,18,0,19,5,1,3,4,2,2,1,2,2,11,3
2018-03-01,5,3,3,3,1,22,0,35,12,1,6,1,0,2,1,4,6,21,3
2018-04-01,6,2,2,4,1,7,0,9,15,1,4,4,0,2,1,2,6,21,3
2018-05-01,4,4,4,4,2,4,0,9,11,1,5,1,0,2,1,2,3,10,3
2018-06-01,18,13,14,13,2,35,0,146,27,2,17,1,2,2,1,11,15,29,3
2018-07-01,8,6,6,8,1,16,0,55,21,1,7,3,0,2,1,3,9,34,3
2018-08-01,7,1,2,6,1,20,0,6,12,1,2,1,2,2,1,5,6,16,3
2018-09-01,6,8,9,6,2,22,0,43,12,2,10,0,0,2,1,4,3,15,3
2018-10-01,6,5,6,5,1,16,0,0,8,1,8,0,0,2,1,0,4,22,3
2018-11-01,13,6,7,6,1,33,0,69,22,1,12,0,0,2,1,8,16,41,3
2018-12-01,2,1,1,1,1,4,0,5,6,1,1,4,1,2,1,1,3,8,3
2019-01-01,4,2,2,3,1,2,0,21,1,1,3,4,1,2,1,0,1,6,3
2019-02-01,3,1,1,1,1,1,0,2,3,1,2,3,0,2,1,0,2,6,3
2019-03-01,8,6,7,7,1,4,0,3,22,1,8,4,0,2,1,3,3,37,3
2019-04-01,4,3,3,3,1,6,0,24,3,1,5,5,0,2,1,4,2,11,3
2019-05-01,8,5,5,5,2,25,0,20,20,1,6,3,1,2,1,2,4,15,3
2019-06-01,7,3,3,4,2,22,0,24,6,1,5,2,0,2,1,3,9,7,3
2019-07-01,7,4,4,3,1,22,0,127,19,2,8,0,3,2,1,5,6,31,3
2019-09-01,10,7,7,8,2,10,0,68,16,1,9,1,0,2,1,1,4,16,3
2019-10-01,7,5,5,6,2,11,0,30,21,1,7,0,0,2,1,0,1,16,3
